image,keypoint,gt_x,gt_y,pred_x,pred_y,euclidean_error,width,height
2018 Guayavero Duda/IMG_0084-Edit.jpg,0,348.2,1755.0,310.43417407096695,1807.7845284598216,64.90349800147706,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,1,4233.7,1981.7,4144.529692304895,1963.1237095424103,91.08469872379406,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,2,1580.3,1440.7,1643.4588873031298,1441.8322492327015,63.169035402595874,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,3,2373.6,2434.5,2227.764995493787,2409.3832717168907,147.9820887100013,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,4,730.6,1516.1,674.6338367867979,1532.4186081659227,58.29672715753173,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,5,697.5,2245.3,642.296726794953,2230.554739815848,57.13863903217692,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,6,4191.6,1709.2,3983.30228829891,1704.785856701079,208.3444776349353,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,7,4150.9,2214.1,3943.668013877058,2175.720668247768,210.75594695810352,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,8,5289.8,1575.4,5272.296552292844,1619.0913638160346,47.06703680647663,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,9,5105.5,2301.7,5141.354802557762,2248.1491117931546,64.44582604170834,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,10,725.2,1829.5,670.4462634147485,1820.2319074358256,55.53259592190174,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,11,710.0,2115.9,646.346065277749,2091.029564267113,68.34004667227144,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,12,717.2,1979.4,658.122539763755,1960.359281994048,62.07008337474116,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,13,531.09,2154.22,457.3768204222333,2113.410603841145,84.25579895956356,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,14,1083.4,2375.9,1086.5194010633104,2346.072027297248,29.99064218301985,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,15,1624.1,3085.7,1643.8109976585874,3082.434128534226,19.97972334963119,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,16,1368.4,2067.5,1193.741653767038,2091.496744791666,176.29912554924843,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,17,2253.4,798.5,2235.303793399891,814.8574858165921,24.393442470340982,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,18,3061.3,2292.6,3134.148957922104,2288.3813069661464,72.97100822415875,5472,3648
2018 Guayavero Duda/IMG_0084-Edit.jpg,19,3400.8,2267.0,3388.59775202325,2339.2995663597467,73.32204410334943,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,0,141.1,1782.9,217.56538009643555,1731.7459280831472,91.99833382712386,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,1,5254.6,2305.1,5278.347798448927,2308.4065638950897,23.97689087357172,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,2,1989.3,1685.4,2115.805560822182,1678.9274698893232,126.67103285664186,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,3,1979.2,2157.9,2083.6134864320147,2144.8315313430057,105.22813797614856,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,4,779.0,1545.1,683.3574853450691,1578.2793346586686,101.23417830906024,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,5,741.2,1817.4,653.0189520653257,1820.845979236421,88.24835402292314,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,6,5095.4,2170.6,5182.422778190452,2211.808430989584,96.28654479525149,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,7,5065.9,2236.7,5155.300426726644,2271.8659784226197,96.0681130101257,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,8,5358.9,2319.7,5362.057073714885,2305.276564825149,14.764910994799315,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,9,5305.6,2394.3,5294.131002872549,2405.4619373139885,16.003960125884042,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,10,775.5,1565.0,672.5385234102291,1602.2750738234745,109.50112688959604,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,11,770.8,1601.5,660.3330488813681,1641.143278576079,117.36497273763923,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,12,772.6,1583.4,665.126024449125,1622.843994140625,114.4835538165886,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,13,306.0,1769.5,493.6461994901615,1714.1035127185642,195.65241369894667,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,14,1203.3,1742.2,1124.928992088805,1736.8150576636908,78.5557921797111,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,15,1180.4,2056.5,1274.842370053555,1904.8040073939735,178.69257240876067,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,16,1156.9,1706.8,1061.2586405327984,1699.3083583286823,95.93432303230118,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,17,0.0,0.0,3432.992247561191,1591.803548177083,3784.0816994093016,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,18,1037.0,2000.5,1142.339648632293,2008.309895833333,105.6287652436702,5472,3648
2018 Guayavero Duda/IMG_0718-Edit.jpg,19,1359.5,2197.9,1429.351225345692,2155.8467203776045,81.53325707522077,5472,3648
2018 Guayavero Duda/IMG_0820-Edit.jpg,0,154.4,1892.7,148.87991949852494,1903.374854678199,12.017645823680722,5472,3648
2018 Guayavero Duda/IMG_0820-Edit.jpg,1,5137.8,2059.1,5188.716629352975,2076.407807849703,53.7779077059577,5472,3648
2018 Guayavero Duda/IMG_0820-Edit.jpg,2,497.0,1745.8,1787.573478211748,1526.15087890625,1309.1316354976782,5472,3648
2018 Guayavero Duda/IMG_0820-Edit.jpg,3,1951.0,2129.8,1863.106076504322,2085.846952892485,98.27111547906388,5472,3648
2018 Guayavero Duda/IMG_0820-Edit.jpg,4,491.5,1681.9,461.89152194084,1703.6518670944945,36.739701891500125,5472,3648
2018 Guayavero Duda/IMG_0820-Edit.jpg,5,521.5,2004.8,499.1714313588245,2011.758527483259,23.387733586197644,5472,3648
